HostMachineName,Key,StartTime,EndTime
,,,
MachineA006,036144ec-608a-4b7e-ac24-070825fa6930,07/05/2022 12:18,07/05/2022 12:30
MachineA005,f08d4750-e1c4-4125-a9e1-bfe5a5cdca02,07/05/2022 14:02,07/05/2022 16:23
MachineA002,0c9ca1e2-b468-49f9-b1b8-0659007b3fd0,07/05/2022 09:03,07/05/2022 12:27
MachineA011,4fb645aa-216b-4f09-b4c8-96a84c7fed50,07/05/2022 09:02,07/05/2022 12:32
MachineA005,1a47872a-63ba-4fcc-8090-77d0cb98fb80,07/05/2022 14:00,07/05/2022 14:02
MachineA002,f9a6f081-3b0e-414d-b52d-21a1b8f33cb2,07/05/2022 10:00,07/05/2022 10:10
MachineA005,e2579902-956d-4181-9bcb-3c9433059f65,07/05/2022 05:30,07/05/2022 05:30
MachineA005,e546304c-f0fb-47fd-80fd-8c433d370bc2,07/05/2022 11:00,07/05/2022 11:00
MachineA006,27636fb0-c549-4e0c-8733-b38ced6ef6de,07/05/2022 05:30,07/05/2022 05:30
MachineA006,89c0d1c3-9a32-42b5-a56b-0c1b6ed2690f,07/05/2022 11:00,07/05/2022 11:01
MachineA006,cd70771f-9db3-48f1-b71c-71274646b0c4,07/05/2022 06:00,07/05/2022 06:00
MachineA006,75e36f72-efbb-4a0d-9261-67194c6d9ed8,07/05/2022 11:30,07/05/2022 11:31
MachineA006,be6359cf-b34d-4a3d-ac7f-26d9108f3544,07/05/2022 05:30,07/05/2022 05:31
MachineA006,d2f62392-3b63-416e-bf8f-bd44fe45ee90,07/05/2022 11:00,07/05/2022 11:00
MachineA006,f516a39c-d21f-4fc9-b422-d72ac79eb68a,07/05/2022 06:00,07/05/2022 06:01
MachineA006,8c1aafee-d7fa-43bc-a665-41f1a3f1a4fb,07/05/2022 11:30,07/05/2022 11:30
MachineA007,ad0dace6-42e5-4a87-8bd4-0cde167d2780,07/05/2022 05:00,07/05/2022 05:05
MachineA007,62fdb520-da7f-48a9-b748-c8e983e3dd29,07/05/2022 11:30,07/05/2022 11:35
MachineA002,839ed17e-9fd9-4310-ac7c-3cbb9c2f5ed8,07/05/2022 09:00,07/05/2022 09:02
MachineA002,cf30fc28-04b3-48ab-bd14-10edc1e8cd46,07/05/2022 12:28,07/05/2022 12:29
MachineA010,f37cae2a-6dd7-47b7-95ac-21688406fd6c,07/05/2022 08:30,07/05/2022 08:45
MachineA010,d699babe-e277-44d0-b0ca-d4a5d3892a64,07/05/2022 08:00,07/05/2022 08:15
MachineA010,a922f517-bb7e-40d6-a9ed-dae735d25841,07/05/2022 09:00,07/05/2022 09:16
MachineA010,25d49eca-e934-4b99-a8a9-99903467296e,07/05/2022 09:30,07/05/2022 09:40
MachineA010,0f4d1d62-9591-4dbd-8259-2acfdec357bf,07/05/2022 10:00,07/05/2022 10:15
MachineA010,e6307502-c125-449b-a85b-f91c7a86f327,07/05/2022 05:00,07/05/2022 05:15
MachineA010,94b543b3-acba-45a7-afd3-56bd38fa32c8,07/05/2022 05:30,07/05/2022 05:40
MachineA010,e605db83-f214-41c9-a734-f5b26e2ad49c,07/05/2022 06:00,07/05/2022 06:14
MachineA010,c0f857ec-1b91-4051-ba92-0b38fa21f50c,07/05/2022 06:30,07/05/2022 06:41
MachineA010,1b73d93c-7aa4-4239-8e4f-635a1756b4c3,07/05/2022 07:00,07/05/2022 07:12
MachineA010,61e7cbe4-2bca-43f8-a959-96c7dfb80309,07/05/2022 07:30,07/05/2022 07:42
MachineA010,6fea7d6e-8bbe-446e-ac89-c122e77570a9,07/05/2022 11:30,07/05/2022 11:40
MachineA010,caa15c8c-e796-4963-9adb-e2d0b9624288,07/05/2022 12:00,07/05/2022 12:21
MachineA010,4e9b7c2d-532f-42d1-95a8-5dc1aa21e7c8,07/05/2022 12:30,07/05/2022 12:40
MachineA010,4bb5fd4c-923e-4918-995c-572fd42bf1d9,07/05/2022 11:00,07/05/2022 11:10
MachineA010,e999793a-20ad-4250-bccf-81eeaa1b3289,07/05/2022 10:30,07/05/2022 10:40
MachineA010,3053d9b0-73c3-4b27-8191-f3575ab4441f,07/05/2022 14:00,07/05/2022 14:11
MachineA010,f186f082-96a2-41a8-ae9d-8c7c95f3a7d1,07/05/2022 13:30,07/05/2022 13:45
MachineA010,12f82f3f-5eaa-4285-add7-626e3e468c30,07/05/2022 13:00,07/05/2022 13:10
MachineA007,3becd05e-1043-4c2b-98f1-84b9edb315e0,07/05/2022 11:00,07/05/2022 11:01
